,North Carolina,FGCU,USC,Providence,Indiana,Chattanooga,Kentucky,Stony Brook,Notre Dame,Michigan,West Virginia,S.F. Austin,Wisconsin,Pittsburgh,Xavier,Weber State,Virginia,Hampton,Texas Tech,Butler,Purdue,Little Rock,Iowa State,Iona,Seton Hall,Gonzaga,Utah,Fresno State,Dayton,Syracuse,Michigan State,Middle Tenn.,CSU Bakersfield,Oklahoma,VCU,Oregon State,Green Bay,Texas A&M,Northern Iowa,Texas,UNC Wilmington,Duke,Yale,Baylor,Cincinnati,Saint Joseph's,Holy Cross,Oregon,UNC Asheville,Villanova,Temple,Iowa,Buffalo,Miami,Wichita State,Arizona,Hawaii,California,S. Dakota St.,Maryland,Connecticut,Colorado,Austin Peay,Kansas
,#98BFE5,#009569,#AE2531,#000000,#3182bd,#EEB311,#003399,#B33A4E,#BAA008,#272341,#FFC600,#393996,#A00000,#003263,#002144,#29086B,#00204E,#0067AC,#C80025,#0D1361,#B89D29,#AD0000,#840A2C,#910126,#0857B1,#2D2161,#CD1041,#00427A,#E70808,#F37321,#1C453A,#0079C2,#005DAB,#BA0034,#7D7D7A,#AE3800,#006F51,#5C0025,#473282,#EE7524,#006561,#004C7D,#004A81,#008649,#FD0026,#C2071B,#29086B,#044520,#156199,#123d7C,#A80532,#FFD700,#0068B4,#003E24,#F8D429,#BB003A,#004231,#003768,#005DAB,#D5002B,#0A1D5A,#D9C994,#8E0B0B,#006AB5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408,0.592,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.91,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447,0.553,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.81,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253,0.747,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397,0.603,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.985
0,0.8134,0.00077,0.085,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.589,0.04413,0.358,0.0128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.207,0.085,0.665,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.151,0.05522,0.7938,0.00193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
